input,soe-vinorm,vinorm,sea-g2p,NeMo
"Liên minh Nghị viện thế giới (IPU-152) tại Istanbul, Thổ Nhĩ Kỳ, tiến hành một số hoạt động song phương tại Thổ Nhĩ Kỳ và thăm chính thức Cộng hòa Italy từ ngày 11-17/4/2026.","Liên minh Nghị viện thế giới I Pê U - một trăm năm mươi hai tại Istanbul , Thổ Nhĩ Kỳ , tiến hành một số hoạt động song phương tại Thổ Nhĩ Kỳ và thăm chính thức Cộng hòa Italy từ ngày mười một đến ngày mười bảy tháng bốn năm hai nghìn không trăm hai mươi sáu .","liên minh nghị viện thế giới ipu một trăm năm mươi hai tại istanbul , thổ nhĩ kỳ , tiến hành một số hoạt động song phương tại thổ nhĩ kỳ và thăm chính thức cộng hòa italy từ ngày mười một mười bảy tháng bốn năm hai nghìn không trăm hai mươi sáu .. ","liên minh nghị viện thế giới, <en>i p u</en> một trăm năm mươi hai, tại istanbul, thổ nhĩ kỳ, tiến hành một số hoạt động song phương tại thổ nhĩ kỳ và thăm chính thức cộng hòa italy từ ngày mười một ngày mười bảy tháng tư năm hai nghìn không trăm hai mươi sáu.","Liên minh Nghị viện thế giới (i pê u, một trăm năm mươi hai) tại Istanbul, Thổ Nhĩ Kỳ, tiến hành một số hoạt động song phương tại Thổ Nhĩ Kỳ và thăm chính thức Cộng hòa Italy từ ngày mười một đến ngày mười bảy tháng tư năm hai nghìn không trăm hai mươi sáu."
từ 24/1-6/2,từ hai mươi tư tháng một đến ngày sáu tháng hai,từ hai mươi tư tháng một đến sáu tháng hai. ,từ hai mươi bốn trên một sáu trên hai,từ ngày hai mươi tư tháng một đến ngày sáu tháng hai
15/5,mười lăm tháng năm,"mười lăm , năm. ",mười lăm trên năm,"mười lăm, năm"
vào 15/5,vào mười lăm tháng năm,"vào mười lăm , năm. ",vào ngày mười lăm tháng năm,vào ngày mười lăm tháng năm
"ngày 15.5, ngày 15-5","ngày mười lăm tháng năm , ngày mười lăm tháng năm","ngày mười lăm tháng năm , ngày mười lăm tháng năm. ","ngày mười lăm chấm năm, ngày mười lăm tháng năm","ngày mười lăm chấm năm, ngày mười lăm đến năm"
"8/4, ngày 8/4, đêm 8/4","tám tháng bốn , ngày tám tháng bốn , đêm tám tháng bốn","tám , bốn , ngày tám tháng bốn , đêm tám tháng bốn. ","ngày tám tháng tư, ngày tám tháng tư, đêm ngày tám tháng tư","tám, bốn, ngày tám tháng tư, đêm ngày tám tháng tư"
8/4 đêm 8/4 8-4 đêm 8-4 8.4,tám trên bốn đêm tám tháng bốn tám đến bốn đêm tám tháng bốn tám tháng bốn,"tám , bốn đêm tám tháng bốn tám bốn đêm tám tháng bốn tám phẩy bốn. ",tám trên bốn đêm tám trên bốn tám trên bốn đêm tám trên bốn tám chấm bốn,"tám, bốn đêm ngày tám tháng tư tám đến bốn đêm tám đến bốn tám chấm bốn"
"4/10, 5/13","bốn tháng mười , năm / mười ba","bốn , mười , năm , mười ba. ","bốn trên mười, năm trên mười ba","bốn, mười, năm, mười ba"
"từ ngày 14-17/4, từ 08/04/2026, từ 8/4, từ 8.4, từ 8-4, từ 12/2026 15-17/5, 15-5, 15/5, 15.5, 15.05, ngày 3-5, ngày 3.5","từ ngày mười bốn đến ngày mười bảy tháng bốn , từ tám tháng bốn năm hai nghìn không trăm hai mươi sáu , từ tám tháng bốn , từ tám tháng bốn , từ tám đến bốn , từ mười hai năm hai nghìn không trăm hai mươi sáu mười lăm đến ngày mười bảy tháng năm , mười lăm tháng năm , mười lăm tháng năm , mười lăm tháng năm , mười lăm tháng năm , ngày ba tháng năm , ngày ba tháng năm","từ ngày mười bốn đến mười bảy tháng bốn , từ tám tháng bốn năm hai nghìn không trăm hai mươi sáu , từ tám tháng bốn , từ tám tháng bốn , từ tám tháng bốn , từ mười hai , hai nghìn không trăm hai mươi sáu mười lăm mười bảy xuyệt năm , mười lăm năm , mười lăm , năm , mười lăm phẩy năm , mười lăm phẩy không năm , ngày ba tháng năm , ngày ba tháng năm. ","từ ngày mười bốn đến mười bảy trên bốn, từ ngày tám tháng tư năm hai nghìn không trăm hai mươi sáu, từ tám trên bốn, từ tám chấm bốn, từ ngày tám tháng tư, từ tháng mười hai năm hai nghìn không trăm hai mươi sáu mười lăm đến mười bảy trên năm, mười lăm trên năm, mười lăm trên năm, mười lăm chấm năm, mười lăm chấm không năm, ngày ba tháng năm, ngày ba chấm năm","từ ngày mười bốn đến ngày mười bảy tháng tư, từ ngày tám tháng tư năm hai nghìn không trăm hai mươi sáu, từ ngày tám tháng tư, từ tám chấm bốn, từ tám đến bốn, từ tháng mười hai năm hai nghìn không trăm hai mươi sáu ngày mười lăm đến ngày mười bảy tháng năm, mười lăm đến năm, mười lăm, năm, mười lăm chấm năm, mười lăm chấm không năm, ngày ba đến năm, ngày ba chấm năm"
"đêm 5/12, 7/10, 11/11, 5/13 ngày 8/4, sáng 8/4, trưa 12/2025, vào 1/3/2020, 1/4/40, năm 25, 15-5, 15/5, 15.5, 15.0","đêm năm tháng mười hai , bảy tháng mười , mười một tháng mười một , năm trên mười ba ngày tám tháng bốn , sáng tám tháng bốn , trưa mười hai năm hai nghìn không trăm hai mươi lăm , vào một tháng ba năm hai nghìn không trăm hai mươi , một bốn bốn mươi , năm hai mươi lăm , mười lăm tháng năm , mười lăm tháng năm , mười lăm tháng năm , mười lăm chấm không","đêm năm tháng mười hai , bảy , mười , mười một , mười một , năm , mười ba ngày tám tháng bốn , sáng tám tháng bốn , trưa mười hai , hai nghìn không trăm hai mươi lăm , vào một tháng ba năm hai nghìn không trăm hai mươi , một , bốn xuyệt bốn mươi , năm hai mươi lăm , mười lăm năm , mười lăm , năm , mười lăm phẩy năm , mười lăm phẩy không không. ","đêm năm trên mười hai, bảy trên mười, ngày mười một tháng mười một, năm trên mười ba ngày tám tháng tư, sáng ngày tám tháng tư, trưa tháng mười hai năm hai nghìn không trăm hai mươi lăm, vào ngày một tháng ba năm hai nghìn không trăm hai mươi, ngày một tháng tư trên bốn mươi, năm hai mươi lăm, ngày mười lăm tháng năm, ngày mười lăm tháng năm, mười lăm chấm năm, mười lăm chấm không","đêm ngày năm tháng mười hai, bảy, mười, mười một, mười một, năm, mười ba ngày tám tháng tư, sáng ngày tám tháng tư, trưa tháng mười hai năm hai nghìn không trăm hai mươi lăm, vào ngày một tháng ba năm hai nghìn không trăm hai mươi, một, bốn, bốn mươi, năm hai mươi lăm, mười lăm đến năm, mười lăm, năm, mười lăm chấm năm, mười lăm chấm không"
